Ultimaker Version,Layer,Fan on/off,Fan speed (min),Fan speed (max),Fan speed (avg),Temperature (min),Temperature (max),Temperature (avg),Feedrate (min),Feedrate (max),Feedrate (avg),Layer height,modified
2,170,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5278.176958525347,25.95,0
2,171,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5247.397714285715,26.1,0
2,172,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5195.909923664123,26.25,0
2,173,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5195.8557251908405,26.4,0
2,174,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5190.985271317829,26.55,0
2,175,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5273.387441860466,26.7,0
2,176,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5273.384331797234,26.85,0
2,177,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5271.01953488372,27,0
2,178,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.851396648044,27.15,0
2,179,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5215.544370860926,27.3,0
2,180,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5216.117647058823,27.45,0
2,181,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5244.827322404371,27.6,0
2,182,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5265.474178403756,27.75,0
2,183,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5266.835483870968,27.9,0
2,184,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5265.302325581395,28.05,0
2,185,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5264.303255813953,28.2,0
2,186,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5261.7464788732395,28.35,0
2,187,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.590610328638,28.5,0
2,188,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5260.608372093024,28.65,0
2,189,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5258.1953051643195,28.8,0
2,190,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5257.419718309857,28.95,0
2,191,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5258.853456221199,29.1,0
2,192,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5252.11100478469,29.25,0
2,193,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,29.4,0
2,194,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,29.55,0
2,195,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.251184834123,29.7,0
2,196,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,29.85,0
2,197,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.674418604651,30,0
2,198,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.4647887323945,30.15,0
2,199,1,255.0,255.0,255.0,0,0,0,600.0,7200.0,5377.4647887323945,30.3,0
